Model,Date,Forecast_CY,Forecast_NCY,State,Country,Forecast,cumForecast
OUTLANDER 1000,2019-01-07,8,3,AL,US,11,11
OUTLANDER 850,2019-01-07,12,5,AL,US,17,17
OUTLANDER 450,2019-01-07,13,4,AL,US,17,17
OUTLANDER 1000,2019-01-14,4,12,AL,US,16,27
OUTLANDER 850,2019-01-14,7,4,AL,US,11,28
OUTLANDER 450,2019-01-14,10,9,AL,US,19,36
OUTLANDER 1000,2019-01-21,4,0,AL,US,4,31
OUTLANDER 850,2019-01-21,4,9,AL,US,13,41
OUTLANDER 450,2019-01-21,3,14,AL,US,17,53
OUTLANDER 1000,2019-01-28,12,11,AL,US,23,54
OUTLANDER 850,2019-01-28,12,4,AL,US,16,57
OUTLANDER 450,2019-01-28,9,15,AL,US,24,77
OUTLANDER 1000,2019-02-04,0,5,AL,US,5,59
OUTLANDER 850,2019-02-04,5,1,AL,US,6,63
OUTLANDER 450,2019-02-04,7,4,AL,US,11,88
OUTLANDER 1000,2019-02-11,8,3,AL,US,11,70
OUTLANDER 850,2019-02-11,3,6,AL,US,9,72
OUTLANDER 450,2019-02-11,13,15,AL,US,28,116
OUTLANDER 1000,2019-02-18,11,14,AL,US,25,95
OUTLANDER 850,2019-02-18,2,6,AL,US,8,80
OUTLANDER 450,2019-02-18,14,5,AL,US,19,135
OUTLANDER 1000,2019-02-25,11,4,AL,US,15,110
OUTLANDER 850,2019-02-25,8,8,AL,US,16,96
OUTLANDER 450,2019-02-25,5,9,AL,US,14,149
OUTLANDER 1000,2019-03-04,7,13,AL,US,20,130
OUTLANDER 850,2019-03-04,12,15,AL,US,27,123
OUTLANDER 450,2019-03-04,15,1,AL,US,16,165
OUTLANDER 1000,2019-03-11,5,14,AL,US,19,149
OUTLANDER 850,2019-03-11,2,14,AL,US,16,139
OUTLANDER 450,2019-03-11,7,5,AL,US,12,177
OUTLANDER 1000,2019-03-18,6,4,AL,US,10,159
OUTLANDER 850,2019-03-18,15,0,AL,US,15,154
OUTLANDER 450,2019-03-18,6,6,AL,US,12,189
OUTLANDER 1000,2019-03-25,9,5,AL,US,14,173
OUTLANDER 850,2019-03-25,4,8,AL,US,12,166
