,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,1,0,22,22.0,12.0,10.0,76912.11,76912.11,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,2,0,59,59.0,37.0,22.0,211015.29,211015.29,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,3,0,91,91.0,58.0,33.0,326383.45999999996,326383.45999999996,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,4,0,135,135.0,94.0,41.0,492040.32,492040.32,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,5,0,214,214.0,145.0,69.0,776023.52,776023.52,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,6,0,249,249.0,171.0,78.0,905196.4199999999,905196.4199999999,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,7,0,294,294.0,205.0,89.0,1071839.34,1071839.34,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,8,0,341,341.0,243.0,98.0,1248342.78,1248342.78,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,9,0,412,412.0,306.0,106.0,1520493.34,1520493.34,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,10,0,473,473.0,351.0,122.0,1745313.37,1745313.37,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,11,0,533,533.0,400.0,133.0,1971119.45,1971119.45,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,12,0,617,617.0,470.0,147.0,2288628.4299999997,2288628.4299999997,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,13,0,740,740.0,578.0,162.0,2758975.6,2758975.6,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,14,0,808,808.0,638.0,170.0,3019293.52,3019293.52,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,15,0,889,889.0,709.0,180.0,3328914.08,3328914.08,0.0,0.0,0.0,27418182.85,7677.0,1.0,0.0
0,2017-12-31,OUTLANDER 1000,1,250,22,23.21,13.14,10.07,81615.58,76912.11,1.2100000000000009,5802.5,-1099.0299999999988,27417083.82,7678.21,1.0001576136511658,0.0001576136511658201
0,2017-12-31,OUTLANDER 1000,2,250,59,62.67999999999999,40.519999999999996,22.16,225372.21999999997,211015.29,3.6799999999999926,15670.0,-1313.070000000036,27416869.78,7680.68,1.0004793539142895,0.00047935391428943503
0,2017-12-31,OUTLANDER 1000,3,250,91,96.75999999999999,63.519999999999996,33.24,348865.45999999996,326383.45999999996,5.759999999999991,24190.0,-1708.0,27416474.85,7682.76,1.0007502930832357,0.0007502930832356378
0,2017-12-31,OUTLANDER 1000,4,250,135,144.24,102.94,41.300000000000004,528189.02,492040.32,9.240000000000009,36060.0,88.70000000001164,27418271.55,7686.24,1.0012035951543572,0.001203595154357172
0,2017-12-31,OUTLANDER 1000,5,250,214,228.29,158.79,69.5,831893.26,776023.52,14.289999999999992,57072.5,-1202.7600000000093,27416980.09,7691.29,1.0018614041943468,0.001861404194346749
0,2017-12-31,OUTLANDER 1000,6,250,249,265.82,187.26,78.56,970985.86,905196.4199999999,16.819999999999993,66455.0,-665.5599999999395,27417517.290000003,7693.82,1.0021909600104206,0.0021909600104207364
0,2017-12-31,OUTLANDER 1000,7,250,294,314.13,224.48999999999998,89.64,1150605.24,1071839.34,20.129999999999995,78532.5,233.39999999990687,27418416.25,7697.13,1.0026221180148496,0.00262211801484955
0,2017-12-31,OUTLANDER 1000,8,250,341,364.79999999999995,266.09999999999997,98.7,1341524.77,1248342.78,23.799999999999955,91200.0,1981.9899999999907,27420164.84,7700.8,1.0031001693369805,0.0031001693369805856
0,2017-12-31,OUTLANDER 1000,9,250,412,441.84999999999997,335.09,106.76,1637478.63,1520493.34,29.849999999999966,110462.5,6522.789999999804,27424705.64,7706.85,1.0038882375928098,0.003888237592809687
0,2017-12-31,OUTLANDER 1000,10,250,473,507.24,384.37,122.87,1879505.2799999998,1745313.37,34.24000000000001,126810.0,7381.909999999683,27425564.76,7711.24,1.0044600755503452,0.004460075550345188
0,2017-12-31,OUTLANDER 1000,11,250,533,571.98,438.03,133.95000000000002,2123928.04,1971119.45,38.98000000000002,142995.0,9813.590000000084,27427996.44,7715.98,1.0050775042334246,0.005077504233424517
0,2017-12-31,OUTLANDER 1000,12,250,617,662.74,514.6899999999999,148.05,2468001.29,2288628.4299999997,45.74000000000001,165685.0,13687.860000000335,27431870.71,7722.74,1.0059580565324997,0.005958056532499675
0,2017-12-31,OUTLANDER 1000,13,250,740,796.1199999999999,632.9599999999999,163.16000000000003,2979180.89,2758975.6,56.11999999999989,199030.0,21175.290000000037,27439358.14,7733.12,1.0073101471929138,0.007310147192913885
0,2017-12-31,OUTLANDER 1000,14,250,808,869.88,698.66,171.22000000000003,3262158.32,3019293.52,61.879999999999995,217470.0,25394.799999999814,27443577.650000002,7738.88,1.0080604402761495,0.008060440276149538
0,2017-12-31,OUTLANDER 1000,15,250,889,957.7,776.41,181.29000000000002,3598609.37,3328914.08,68.70000000000005,239425.0,30270.290000000037,27448453.14,7745.7,1.008948808128175,0.008948808128175074
0,2017-12-31,OUTLANDER 1000,1,500,22,24.42,14.28,10.14,86319.05,76912.11,2.4200000000000017,12210.0,-2803.0599999999977,27415379.790000003,7679.42,1.0003152273023317,0.0003152273023316402
